Date,Network,Station ID,Station Energy,Start Time,Finish Time,Duration,Energy (kWh),Total (USD),Miles,Avg. Cost (¢/mi),,,Energy / Trip,Mi / kWh / Trip,Month,,⏮,⏴,⏺,⏵,⏭
02-09-2024,Blink,BAE800232,16.64 kW AC,2024-02-09 7:39:11 AM EST,2024-02-09 12:49:00 PM EST,3:32:39,32.7729,$6.55,93.1,7.0,-,0,32.8,2.84,2,,24,26,35,44,50
02-14-2024,Blink,BAE800232,16.64 kW AC,2024-02-14 7:33:43 AM EST,2024-02-14 1:22:31 PM EST,4:58:44,46.8284,$9.37,123.4,7.6,-,0,46.8,2.64,2,,25,29,38,47,61
02-15-2024,Blink,BAE800232,16.64 kW AC,2024-02-15 6:46:51 AM EST,2024-02-15 11:44:21 AM EST,4:44:00,43.8892,$8.78,104.4,8.4,-,0,43.9,2.38,2,,25,28,36,43,50
02-26-2024,Blink,BAE800232,16.64 kW AC,2024-02-26 7:35:10 AM EST,2024-02-26 2:08:48 PM EST,3:40:40,34.3552,$6.87,92.4,7.4,-,0,34.4,2.69,2,,16,25,36,46,57
02-27-2024,Blink,BAE800231,16.64 kW AC,2024-02-27 7:43:21 AM EST,2024-02-27 11:58:45 AM EST,3:48:03,36.3424,$7.27,105.6,6.9,-,0,36.3,2.91,2,,16,27,38,49,64
02-29-2024,Blink,BAE800231,16.64 kW AC,2024-02-29 7:35:30 AM EST,2024-02-29 4:43:37 PM EST,7:11:03,66.6488,$13.22,167.3,7.9,-,0,66.6,2.51,2,,16,29,40,52,64
03-01-2024,Blink,BAE800231,16.64 kW AC,2024-03-01 7:33:00 AM EST,2024-03-01 11:14:25 AM EST,2:55:56,27.3417,$5.47,77.6,7.0,-,0,27.3,2.84,3,,21,30,41,53,64
03-04-2024,Blink,BAE800231,16.64 kW AC,2024-03-04 8:01:43 AM EST,2024-03-04 5:39:31 PM EST,5:59:23,56.2350,$11.25,158.3,7.1,-,0,56.2,2.81,3,,21,32,41,50,60
03-06-2024,Blink,BAE800231,16.64 kW AC,2024-03-06 7:53:26 AM EST,2024-03-06 4:18:05 PM EST,5:31:50,51.3704,$9.97,162.9,6.1,-,0,51.4,3.17,3,,34,39,46,53,60
03-07-2024,Blink,BAE800231,16.64 kW AC,2024-03-07 7:37:16 AM EST,2024-03-07 11:16:17 AM EST,3:02:11,28.9431,$5.79,91.5,6.3,-,0,28.9,3.16,3,,37,41,46,52,60
